scorer,adam,adam,adam,adam,adam,adam,adam,adam,adam,adam,adam,adam,adam,adam,adam,adam,adam,adam,adam,adam,adam,adam,adam,adam,adam,adam,adam,adam,adam,adam,adam,adam,adam,adam,adam,adam,adam,adam,adam,adam,adam,adam
bodyparts,base,base,MCP1,MCP1,PIP1,PIP1,DIP1,DIP1,tip1,tip1,MCP2,MCP2,PIP2,PIP2,DIP2,DIP2,tip2,tip2,MCP3,MCP3,PIP3,PIP3,DIP3,DIP3,tip3,tip3,MCP4,MCP4,PIP4,PIP4,DIP4,DIP4,tip4,tip4,MCP5,MCP5,PIP5,PIP5,DIP5,DIP5,tip5,tip5
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data\video10\img005.png,302.69436987593417,139.91645505332656,,,,,,,,,279.01302328955967,318.91957483856925,267.8688601900893,393.44616556627733,261.6002684466372,439.4158383515926,258.8142276717696,472.1518174562868,231.65033011681064,291.0591670898934,201.700391786984,370.46132917361973,177.3225350068926,435.2367771892912,159.21326997025326,470.75879706885297,187.77018791264604,286.880105927592,163.39233113255463,356.53112529928177,,,,,164.78535151998844,263.89526953493436,131.35286222157734,322.40212580715377,125.08427047812526,364.19273743016765,134.13890299644495,392.7496553725605
labeled-data\video10\img016.png,315.2315533628383,139.91645505332656,297.12228832619905,300.11379960821307,293.63973735761454,395.53569614742804,290.15718638903,447.07745048247847,,,248.36657476601616,290.3626568961765,222.59569759849094,378.8194514982225,197.52133062468263,439.4158383515926,,,208.66549372415298,284.0940651527244,178.7155553943264,360.71018646158313,,,,,175.92951461945879,261.1092287600668,143.8900457084815,321.70561561343686,139.71098454618013,366.97877820503527,151.55165783936738,396.9287165348618,,,,,,,,
labeled-data\video10\img020.png,324.982696074875,109.96651672349998,,,,,,,,,306.1769208445187,268.7708408909526,291.5502067764638,356.53112529928177,290.8536965827469,402.500798084597,288.0676558078793,451.25651164477983,254.63516650946823,259.716208372633,228.16777914822612,344.6904520060945,208.66549372415298,403.1973082783139,189.16320830007984,447.07745048247847,210.7550243053037,250.6615758543133,191.25273888123056,321.00910541971996,,,,,190.55622868751365,226.9802292679388,154.33769861423494,289.66614670245957,157.82024958281946,327.2776971631721,167.571392294856,357.2276354929987
labeled-data\video10\img024.png,345.18149169266496,45.19106870782849,,,,,,,,,324.982696074875,220.71163752448672,317.32108394398904,309.8649423202496,308.9629616193863,361.40669665530004,304.7839004570849,402.500798084597,270.65490096495694,211.65700500616703,246.27704418486545,302.2033301893638,225.38173837335856,354.4415947181311,205.18294275556852,397.6252267285787,240.70496263513027,193.5477399695277,208.66549372415298,275.7359428281216,,,,,207.96898353043608,172.65243415802075,175.92951461945879,234.64184139882468,,,,
labeled-data\video10\img041.png,391.15116447798016,26.38529347747226,,,,,,,,,376.5244504099254,215.13955597475154,366.77330769788875,309.1684321265327,364.68377711673816,344.6904520060945,359.80820576071983,377.4264311107887,326.3757164623087,192.8512297758108,306.8734310382356,284.0940651527244,289.4606761953131,345.38696219981136,272.04792135239074,390.66012479140977,288.0676558078793,179.61753609518973,260.2072480592034,265.98480011608507,,,,,258.11771747805267,159.4187404773997,227.4712689545092,233.94533120510778,,,,
labeled-data\video10\img044.png,393.24069505913087,31.260864833490587,,,,,,,,,384.88257273452814,204.69190306899804,377.9174707973591,286.1835957338751,382.0965319596605,337.02883987520863,373.7384096350578,386.48106362910835,338.91289994921294,190.06518900094323,316.62457375027213,284.0940651527244,301.99785968221727,353.0485743306973,285.2816150330118,395.53569614742804,293.63973735761454,181.70706667634045,267.1723499963724,270.86037147210334,,,,,267.8688601900893,160.1152506711166,233.7398606979613,233.24882101139087,,,,
labeled-data\video10\img050.png,410.65344990205335,9.669048828266682,,,,,,,,,415.5290212580717,186.58263803235872,406.47438873975193,241.60694333599366,398.8127766088661,279.2184937967061,393.9372052528478,311.9544729014003,364.68377711673816,185.1896176449249,357.0221649858522,284.7905753464413,349.3605528549664,346.7799825872452,343.09196111151425,399.7147573097294,326.3757164623087,178.92102590147283,296.42577813248215,258.3231879851992,,,,,287.3711456141624,155.93618950881523,256.724697090619,221.40814771820362,260.9037582529203,267.3778205035189,281.1025538707104,294.54171805847784
labeled-data\video10\img056.png,434.33479648842786,17.330660959152624,,,,,,,,,441.2998984255969,203.99539287528114,424.5836537763913,302.89984038308063,409.95693970833645,350.2625335558297,398.8127766088661,397.6252267285787,392.54418486541397,185.1896176449249,376.5244504099254,274.34292244068786,363.29075672930435,332.8497787129072,349.3605528549664,380.9089820793732,345.18149169266496,178.92102590147283,320.80363491257356,257.6266777914823,,,,,310.3559820068201,151.06061815279696,276.22698251469205,224.89069868678808,274.13745193354146,271.55688166582024,290.8536965827469,302.89984038308063
